Driver,Round,Avg_Speed,Max_Speed,Avg_Throttle,Brake_Pct,Avg_RPM,Brake_Zones,Brake_Time_Pct,Mean_Entry_Speed,Mean_Apex_Speed,Mean_Exit_Speed,Mean_Brake_Duration,Std_Brake_Duration,Mean_Peak_Decel,Max_Peak_Decel,Sector1_Ratio,Sector2_Ratio,Sector3_Ratio,Speed_Pct_10,Speed_Pct_20,Speed_Pct_30,Speed_Pct_40,Speed_Pct_50,Speed_Pct_60,Speed_Pct_70,Speed_Pct_80,Speed_Pct_90,Brake_First_Third,Brake_Mid_Third,Brake_Last_Third
ALO,8,165.21374045801528,288.0,54.912213740458014,28.62595419847328,9827.530534351145,12.0,32.74981971408775,198.41666666666666,104.33333333333333,104.33333333333333,1.9300833333333334,0.8312311610229456,-13.69750330687833,-15.0,,,,190.95238095238096,218.41176470588235,148.35294117647058,96.56,236.44444444444446,166.86363636363637,195.80769230769232,185.71428571428572,126.70270270270271,36.61971830985916,24.761904761904763,27.058823529411764
ANT,8,165.11363636363637,289.0,55.80681818181818,26.515151515151516,10020.71590909091,12.0,30.830028447708074,193.58333333333334,103.0,103.0,1.8333333333333337,0.7454548201526949,-14.171810699588477,-15.0,1.0460649422124382,,,175.22222222222223,218.94736842105263,145.06896551724137,94.93181818181819,239.5,153.37037037037038,195.0952380952381,189.08,123.76923076923077,28.35820895522388,28.703703703703702,22.727272727272727
BEA,8,163.27756653992395,289.0,54.17490494296578,31.1787072243346,9638.980988593155,13.0,32.885259631490776,201.6153846153846,106.92307692307692,106.92307692307692,1.8122307692307684,0.7533181117660669,-14.20138888888891,-15.0,1.0233902036323608,1.0265822784810126,1.0461855000270723,201.4090909090909,219.0,142.9375,97.52173913043478,250.47368421052633,152.60714285714286,203.1,175.78947368421052,116.5,34.5679012345679,27.184466019417474,33.33333333333333
BOR,8,162.96958174904944,289.0,54.657794676806084,28.13688212927757,9758.22433460076,12.0,30.967245240761464,195.83333333333334,103.25,103.25,1.8435833333333325,0.8687774416129576,-13.805941358024699,-15.0,1.0339020363236102,1.0267329716696805,1.031403974227083,191.15,223.55,144.17241379310346,91.08695652173913,235.2941176470588,166.82758620689654,196.1818181818182,185.4,119.1025641025641,31.428571428571427,25.471698113207548,29.069767441860467
COL,8,160.18007662835248,287.0,56.97318007662835,26.436781609195403,9848.436781609196,12.0,30.635734072022146,186.16666666666666,102.08333333333333,102.08333333333333,1.8432499999999994,0.7721464805980796,-13.624765728425814,-15.0,1.47727022564667,1.1751959011452684,,194.32,213.47368421052633,145.92857142857142,92.67307692307692,240.7058823529412,138.0,194.85714285714286,180.52173913043478,122.71428571428571,29.72972972972973,24.271844660194176,26.82926829268293
GAS,8,165.06563706563708,285.0,56.1003861003861,22.779922779922778,9987.7722007722,11.0,28.783024170882527,187.63636363636363,97.18181818181819,97.18181818181819,1.8620000000000005,0.7975667541170006,-14.198232323232306,-15.0,1.0432581177765545,1.377275467148885,,184.72727272727272,219.04347826086956,149.6,93.22,238.47619047619048,165.69565217391303,202.6,175.3913043478261,123.37142857142857,26.31578947368421,20.588235294117645,22.5
HAD,8,166.88326848249028,288.0,59.31517509727627,22.957198443579767,9981.112840466925,12.0,29.91061293984109,194.0,104.75,104.75,1.7567500000000003,0.7597652186695576,-14.085898669232009,-15.0,,,,198.8,220.6818181818182,145.83870967741936,96.48936170212765,240.8,169.07407407407408,198.76190476190476,182.5,125.93548387096774,27.27272727272727,22.0,20.253164556962027
HAM,8,169.83076923076922,289.0,61.18076923076923,29.230769230769234,9935.138461538461,12.0,31.77267541357674,199.58333333333334,105.33333333333333,105.33333333333333,1.8565833333333341,0.6015137097818759,-14.328703703703702,-15.0,1.578701155751238,,,188.2608695652174,221.2608695652174,139.38709677419354,99.04651162790698,247.35294117647058,166.23076923076923,201.61904761904762,188.66666666666666,122.48484848484848,32.91139240506329,28.999999999999996,26.25
HUL,8,164.37065637065638,289.0,57.6988416988417,23.552123552123554,9891.633204633205,13.0,30.418069584736262,181.46153846153845,98.92307692307692,98.92307692307692,1.6678461538461546,0.7635142279822692,-13.162393162393174,-15.0,1.4270225646670334,,,179.85,227.68421052631578,139.92592592592592,89.9,232.0,183.42307692307693,193.0909090909091,192.04347826086956,119.65714285714286,26.47058823529412,23.809523809523807,21.176470588235293
LAW,8,165.76425855513307,286.0,57.22813688212928,25.85551330798479,9860.623574144487,14.0,29.842442774026416,176.85714285714286,101.14285714285714,101.14285714285714,1.5057857142857145,0.7521158894907686,-13.08779761904763,-15.0,1.2200880572372041,1.1605183845690175,,204.1904761904762,209.38095238095238,139.06666666666666,99.61702127659575,251.0,157.65384615384616,201.8,179.04347826086956,125.05714285714286,31.25,25.252525252525253,21.686746987951807
