Driver,Avg_Speed,Max_Speed,Avg_Throttle,Brake_Pct,Avg_RPM,Brake_Zones,Brake_Time_Pct,Mean_Entry_Speed,Mean_Apex_Speed,Mean_Exit_Speed,Mean_Brake_Duration,Std_Brake_Duration,Mean_Peak_Decel,Max_Peak_Decel,Sector1_Ratio,Sector2_Ratio,Sector3_Ratio,Speed_Pct_10,Speed_Pct_20,Speed_Pct_30,Speed_Pct_40,Speed_Pct_50,Speed_Pct_60,Speed_Pct_70,Speed_Pct_80,Speed_Pct_90,Brake_First_Third,Brake_Mid_Third,Brake_Last_Third
LAW,-0.08984974107976756,-0.3467020474758442,0.6077226956708822,-0.5217650123781444,-0.5455477482586569,0.1449129642875527,-0.40941237966177163,-0.42456203830316874,-0.41639023614054355,-0.422202615798616,-0.2655129009062791,-0.07093630873817043,0.30324591269047535,0.0,0.026521598441883204,-0.18194567852555932,0.07178002814402089,-0.008091578860984418,0.12544294381627383,-0.04747738904979806,-0.02737572498211589,-0.1886468618939395,-0.06447630864365643,-0.5344061171874162,0.40948602150692176,-0.05946525090180963,-0.46065248945053705,-0.2668102246267925,-0.2324668389490547
LEC,0.39123243366454635,0.19852925016256975,0.7658394395099433,0.1358216158672746,0.2589066870784084,-0.40126185856533797,-1.1077385566361189,0.569661771331797,0.3270351616309008,0.32749707704220704,-0.39112011282619585,-0.7406295783476322,-0.3279183795192276,0.0,-0.08434970302988848,0.12426566694085313,-0.14835804778988207,0.11657802727947393,0.21225722542715905,0.29322913714297444,0.22210716718282844,0.027579905945556583,0.04227336062628464,0.346036538369435,0.3580497980998074,0.38205560727154086,0.09788316653417839,0.12546510959839616,0.08615361626893535
NOR,0.9501282044686917,-0.4587192519765922,-0.8720216877488363,-0.9933317422294011,0.2180362968356804,0.11425445370401087,-0.034049107677459924,0.020803026549471724,0.7164375009504215,0.7100951964616672,-0.30196777034527705,0.13337697229989154,0.290805956012457,0.0,-0.11954890449527138,-0.12967214607458316,-0.49562210031431025,0.3156231886738408,0.31867994798873706,0.3174434227900927,0.5280824438037358,0.6034681980052504,0.22378570567648023,0.8316383852938759,0.16292958028777788,0.4017571289670829,-0.4741827656833227,-0.7650162454866369,-0.8187225254492608
OCO,-0.57395938051055,-0.20247497299131098,0.05037850149071224,1.417483847425023,-0.7614420801144611,0.5430528032898987,0.9300816227828297,-0.2116535086301836,-0.06239059328219964,-0.015505278368182619,0.25116170603945925,0.43940368504850974,0.5796032514216543,0.0,-0.19362986253819936,0.04846358769715685,0.5269172629396999,-0.14217111654878392,-0.24578805748759333,-0.5802470251357895,-0.3341294540095395,-0.15991871686745077,-0.2766427448093431,-0.3883653097350561,-0.11058732049906012,-0.13852772790445744,0.6516609947543158,1.084220048388696,0.9087256397264055
PIA,1.1272438426083755,-0.7235952313005134,-0.6770339501063521,-1.0036955751132932,0.10633841749136548,0.08091519941735313,-0.12266471618463827,-0.38619103710352426,0.5623431292012342,0.557294614903984,-0.3230664994476873,0.13132827503684366,0.324650831867782,0.0,-0.18075686817104972,-0.27573601145502913,-0.955904834017355,0.37609135443789654,0.532882881060224,0.6243130769900075,0.3739302687825756,0.599917459275357,0.3654606747102256,0.28023862778514946,0.4995124263570319,0.44188583185710445,-0.7390100930621877,-0.6789536065935021,-0.7070353825492578
RUS,0.42678801410156414,0.27773398145875033,0.24412771669497715,-0.3411938371402852,1.1992167215279452,-0.6036817135784652,-0.2711093379078589,0.32133074573051196,0.09654022534723368,0.0907099885789857,0.27052334174121867,-0.2539410079602871,-0.16973716953934412,0.0,0.6427763679043321,0.1455212133888969,-0.9236375108053383,0.23388563339252585,0.25027239400980766,0.09971013185899584,0.32784297954845465,0.0724751971961574,0.10044200622166098,0.011425212063326182,-0.15771466330686845,0.3427089915535784,0.02813167912349862,-0.48341581245695164,-0.29734772461380954
SAI,-0.17535824945029832,0.05580341000867023,-0.1639677301708348,0.6856879463290667,-0.786101706136734,0.12482286845864053,0.12610747999851982,0.06997562718072008,-0.11299308423414921,-0.12156512650080974,-0.08789356659476512,-0.03423752852200986,-0.1675922062408288,0.0,0.049800090147474746,-0.1360243477835263,0.05227698524281119,-0.11075134629561272,0.1706443476096101,-0.22242761641239917,0.08480273393653233,0.3103490334834825,-0.0578626707263604,-0.2686515226100448,0.24784625975087027,-0.07840531761549499,0.4449704573391969,0.5007682163009094,0.3793824483311385
STR,-0.8767721747653902,0.06442435292085398,-0.5553713676364352,-0.18790327441178423,-0.14732006706077222,0.395798102253673,0.4241378158978861,-0.5038567523406843,-0.5115261981790562,-0.5135804702334366,0.014184543660762558,0.25108307041221595,0.207559199810585,0.0,-0.12028378317505109,0.073779330112487,0.45825333379741273,0.00718105491994836,-0.6905712253031258,-0.5026346307221384,0.5993268913777908,-0.4544647899538399,0.17466471658545604,-0.6633751446479973,-0.8848854537713499,-0.7688562377958631,-0.06385909458865573,-0.14631111211191797,0.007455802443950037
TSU,-0.25196435141509965,0.18913318094783893,-0.3264861249552706,-0.6983771917926067,-0.6988620126127256,0.08043215759220926,-0.22065036986086786,-0.40027775094953133,-0.49648852533131776,-0.49648872532885235,-0.18911612588700097,-0.14626621218612085,-0.06923451175209866,0.0,0.16707361497824863,0.39227640440060396,0.4104274683146033,-0.20591088619498393,-0.051068058858832276,-0.25786236886529157,0.09629525677208103,-0.09736288692215773,-0.05719203880694579,-0.07605328242398456,-0.04382671723215193,-0.01677068515811887,-0.23908968618551682,-0.6467389373549259,-0.42309231821389853
VER,0.6130720178460017,0.5697388839406979,-0.039130818164971444,-0.2891376729183787,-0.12690300788123923,0.18661135050079347,-0.11195316740069272,-0.12248520416513116,0.16167910118718792,0.15295641115836664,-0.32630045202639596,0.13615075227625134,0.020971018135743785,0.0,0.12864448509479867,-0.05054995553701254,-0.6163798499619396,0.39140452457602026,0.22171601482404565,0.6092954165362908,0.4396667211401297,0.31032416514473754,0.2597998564648298,0.278403791915498,0.43422140959235594,0.20065686391614887,-0.19119098311932495,-0.04411673337015456,-0.32780381622442556
